address,points
0x1f29cba44478bd2df384e4b21b39e6fb92f350fa,3
0x699d8be832b933c69ee6cfb95a36557c52af25c4,1
0xc8d43b0ebe1df62026aa6dd36bd62449e6b0efed,4
0x495a239a37eb123ecf8feaaa05594a719327bfbb,1
0x7297906400d15c6bbe20b2c696fc6f465ba48d02,4
0x7d8510089fc2b0d5fd8ba700e51af7654f2d8b13,1
0x0799b8b71c3c026d7003e6cbb2e9e199e3e5f2d0,1
0x4d67c5beeb6f864e8612073f53a0829d1ee16393,8
0xf5dba4d131dd8c1f12600a5f9c02e460720a8ff9,6
0xef9023331783570fb0876bf0f45c4aa1da9f09b5,1
0xabe3c44149905022e0219d2fa9a40ef9e11edb7d,4
0xce8c70ed0980a2d1d9290c0aaa210ac38757e234,5
0xd187de6c97da4676a8245b30042f581b50062ead,3
0x1c5b6f266c168352b45bdfd6b6875f9ea19c35fb,1
0x668e67b292ff03e8dce6f47a37a6f41b46266e29,3
0xc05ba48cdaa4c9285d96bff09243f410ca584a9d,3
0x2d30c632383246620be4f3bc8d521e3fcdd13cbd,8
0x981aee3cf2378cf0b8059f77c0d32730d0a489ab,4
0xa74def71b5702df1917c4d338c12355346d55da8,2
0x11bcae477eb2fa9591001436c939f0ab5ef7d656,2
0x0cc267fef4fe581ed9536e66ec65b88724147d02,1
0x884c95d6e9222d9e503bbfefad376321a85436ca,1
0xba001ef9a28b26503222f0d57b0e25713250a04f,11
0x567f382fd818e4495eef5f397a064a370b3a53a4,4
0x4d842c484484f629064b99c57104174f87debe06,2
0x3999f3f4f4698935d69e3c8d55f963a65e70d9fd,5
0x4a2ea54ca357a4d84164ae4a7906e03b7729fe73,2
0xa3f74a565dd97bce5b1e358720b0d89b3d12f4c4,1
0x571f7567b4b6440af78b043e657c9d5013be250d,2
0x140235d6813c2d13be5c2f445bc94628677404cb,9
0x820a0445f05f08804f9ae781a973301443291eb7,1
0xe1fbebd9301f9d8ee9d959e7bc1cee196b184ade,1
0x9e4c274efb5a515a3bf8c312ebd1e19eaf1c33e0,1
0xf38b07b8ac72ad70806e902c2ecfb7edd36ca3f5,11
0x31379da30591edcc90bd89ed3584fa19bdfbc4ba,3
0xa0a83c3991d469a1096c2dffb469dc1cdc53eab8,5
0x4c21205c0e4a38e2ea606dc92e885e9ece3d78f7,1
0xbf078d3b452dd709fad4e98ea67f6dcdadf0fa03,3
0x47f08ef60bf641e1c4d6e7a1ef8ea6ac80a1006b,2
0x4f6189ee3ed164977925c292ddd590111cd4a10a,5
0x316684f31c79e2b067e108ed21134117313839c5,9
0x7e4b1ba1301b795e510a775ef2cbf1386bcf7592,9
0xd020684003f1cf44517bf3452209c4abcba56d23,1
0xfd5e7454712c4caf315859d8bb0e5d5a8de7ff0e,14
0x59e79bcee8adf4a0f2b554c163f9ea739c5d9af6,3
0x985eaaa9531ddd634321208bf79baf623455d187,15
0x440162ee5799c4246445d87205c008aeb5a0fbb5,5
0x33ebcc397a86b3c4c5a1dc4ca3e879732effec10,2
0x7b1d148508f117f69f2420a2463ce7e477eb0e1d,7
0x46070e9810c3753ff202ff73d40302b70bd5a18f,2
0xdba5ecdfd07b55b68c8b4023e46d7d3581736bc7,5
0xefdecd7b55aec77a59c42a0895bd2bc80bdb06b8,9
0xce85ab737f7574f54fffab9699683caa631245ed,1
0x8c66ac5284fec2676a2c79acc2c27e2a3df143d7,8
0xce5edb4a2a6d44e366819505e8981c1fa833ee99,11
0x30ff6fa2012c53b2b21d933f577c8b4d05cc40ca,4
0x6177c321802fdab0cace860021938a6cd943f7ef,1
0x758edc21b4cb11eac2a5361f198381d2ade2b886,1
0x5e153794655ae20c3305ba5b53f8db8d7fbd5f41,11
0xff4930557c8687d18e943a233555d5bbe8f529ac,1
0xc2c23d80705e9659de688634bdb3795cb37c363a,11
0x475e90c6e5eff04d50c40197041d9a0432fe6323,3
0xc2f7abacc4d1485a68dff4059eb6085ad7dd87cb,14
0x71a2cbb75aee51700956e07728b545e1c51c038a,14
0x08ccd3684a57acd5eb2cebd51caf88c75073b23a,8
0x6ca8c55aa8f9225bb26c71ea10544eb2b6d0cce1,11
0xdae744793babd32578d22f5354d15e2b28a7a2aa,5
0x63239dc75d4f1fceed5c461841f85ef0be6c65fa,1
0x7cf49a47a9dc58cbabac0b22925acee5a9e9a663,11
0x132c170d2a6c6a1a313ac981d317289671172e19,7
0x66d60cdb2133522b0d2e17b889b8ab911095d896,14
0xbf165bea2bf42eb869dadb8eaacfe70226edb054,1
0x4d19535d1a30dc4ec298f45b539197e047a3a789,6
0x593da29a92b8769ead7de3710e1389a79a28ab5d,11
0x139e58dfb7a87a4f535a4e1fae1c4a64325349bb,1
0x5bb11896a70f874c6a295639c75b94ba6bd3f3de,5
0xfbc87797bf3867435831f339c0317902560f2bfa,14
0x339f2fb6b0b51626479522d507f47e00e1730f5f,8
0x76365aa0c59bb130d417b9e6f118528668a49c26,14
0xfb2c70b60ff10ac7ee353232f5498e5fdc35a9e0,4
0xac8da19121e723da6b4e17350e17cc4cfd2303eb,5
0xfb62eefd26fe8e655e6e7cb9bbcb4f388cf21bca,11
0xd5c4cc2af3fb5c5df49e67eadce52c3e670c5d11,4
0x6542f4e37fa4269c2db6ad9bd3d51110ffb9e362,5
0x6ae9e1bea180489eb75195176c491b7485fb68be,5
0x74f89b28bced8e7fb82b56db004fa4744b7b5eb5,5
0x3209574ab51393da1ddb478eb61fc44dc92cf22b,5
0xdfb00c8f3d2e23f68aa49aeb382c62cbfc53985a,1
0x59fce03fbb9cbb111b33e900b8babc1196d103b5,11
0xac031f58d8340f9eeef7ffdde5d583c274e47801,1
0x36b624180e8b8b10a120d9f543b134d7b312e371,10
0x0835e4e6c858f33a04b4715941ad19862318a8b7,1
0x3466374d13ab10ea7e78a79575634d9cc0ab42df,1
