address,points
0xb1658bd148f54c1e59d85f7fda511b558533b0ca,2
0x5c9aaf43a13e328d74af64e59ed601c9b8426c8c,3
0xafd8d5347c3189a237d4697a49f1f8b65d07783b,2
0x8ab1b12b9f14bcba3b3482dc2ff000239af59a09,2
0x9a5891b0fa596e45858d767e7df64f9a82c2c529,1
0x46885051db042ed7640de655e286c37bc102d197,4
0x9f0f31194aca03f43df08aa6ae642caa9cd7568a,4
0x7a43537c7d9ab1f6c53746bcf1421c15563d6140,2
0x8b9a3787dfa6d221990967c7aee4c6f7237649a4,2
0xc16e976e9be798000ed2e6e97ec83dc70aaa07f9,1
0xb86b2f879c48392ff4e4728ec092d50233b238c5,2
0xbaf7e2a65f4694655447fb0d32838e7d142e4a34,2
0xf8e174f227af736e16d4cbc06a475ddd52a97a93,4
0x8b6247eae510a93d82baad23bdbc5e6f7879dae2,6
0xe3d293582c5553d681ac953b4b0bf63a1f987464,6
0x6568add3737be8ccc3f772c08ff9626b0ee82a1f,2
0x4bd49374bcbe3704c7b482173049b1002eed3b2e,1
0x50bd387e5a6986157881889373e4de2b5a337c61,4
0x1732fdc4b72083815f181aae616944c8edd82e11,9
0xe3129de64187aa74246a4334d49bfb17c2cbd178,9
0x8d606afb4fba81b501e81c803bd5274f15f6de07,9
0x47d0c1073fec468cc458bacf8cddddaae0ba5381,6
0x222e3cb8d92bc316e9dc8b45eb218702bf94f9c1,7
0x7d4a00f39e3818db4f149e903f973f04d9931521,2
0x2279122cc80b30b77acfcf07ae304bfa8186c51f,3
0x4060f1e8b3c5ab60b639025bed2af33a37027475,2
0x195b8bf31d6bd1308cc555f41f7d00e1f041d05c,1
0x031e44347de34e0fa0b32d500d0ee656b7fbdb6f,3
0xc4791dbaef5dc65a5c8a60da07c1f0dab32c2835,6
0xa98d2867de6b1dff44fe4b355dea098e81d06aeb,2
0x69c8e0a83e05b9ed4d2c9ae7248f624df3a1b262,4
0xc6c827d294a8102c2fee976d340bd454758073c4,2
0x1f99d1bc5dcd5a87c6bcb40655a7438f99b6b601,2
0xf80a5fe76e2485b76bc406b70f7ebbb6fe42d675,4
0x5ffbd158745d3c9cb66638bc00242095ed1ac228,4
0x3aa7f15ef78746dc60864430a5b735c15d94e3c2,3
0x1dbaf5afdd389d34c2aadeaa94c256994e7331b0,7
0x32cb9fd13af7635cc90d0713a80188b366a28205,7
0x6ffc40e41897421f381abf343301fdd01cccec34,4
0x3fe9584bd10797c147b932cb01e34b9c2ed6efbd,3
0x0a7b367ee82e8a77fb2273f37848d4b8ad77bb57,2
0x3443e1167302b82d0ac825a1b228948bf329e8fe,2
0xb6a7c16ccaf18e8687a3d0cf872e9792060894b7,12
0xe66ae95575349194bb1621e2adc09975d240c784,14
0x12651f27224dcefa41db255a2814959373829fd9,2
0xf77058eb90a7d823e50144961082a1ab70d2bbb6,2
0x646c6c1d637896935bb59dc46ad56e8ee87b799e,3
0x2cca6fce4d76fc1b234ba545ec93db472d672fa4,2
0x9477861457123c55cd34c608068c58af2bff5dc8,12
0x30cceeec52c250ac839fdf8255d0f14be9359290,3
