address,points
0x3679aa1e48eb60bc1cabfb5241b0ccab8747520c,14
0x08fa25a894070d71e1926a046acfb636b35058c6,3
0xa81637e70e218e91876d7a1aad511311f5a68a1a,7
0xdd4320fdf0b791720ca184b3fa413c406e1926f0,2
0xae144662565fcf0e3aac9c1cb66c7a8fd6f19d42,5
0x7002cf2db34f207abba0e9af730c7404fabf016e,5
0x2219c41ec4fc7b7c745e6cc1f3e4277f8fd736b1,5
0xc9400f25085c23652b4cc86d146f770083170031,7
0x53832eed7085461c729591c022248d8c51c1207f,3
0xc65b11ce31e8f8b923162cfe728bcbf242068006,1
0x96bae1bbeb73eb4eb6190608fce6fdf124ae791e,12
0x222e3cb8d92bc316e9dc8b45eb218702bf94f9c1,7
0x1f33c0edbe591a2194978069c40bddf8c2059a5e,2
0x6cce259fc06018341237893bca40cb02abc2792a,4
0x1a0f607cf0eddc248e8734167d53571cc07832d8,2
0xbae3bad311a211dbc19c14a5d2995a9a4741abc7,10
0xd70833f39948862234d977771b8e6eaea26a881c,2
0x8ae38aef41881095c955de0a3f55a110a98667e4,2
0x25cf001601ab932dab370d86acd2f2046634aa2f,11
0x71e2817679c7011f7527b9425cb3069c95e4ec99,12
0x5f8fbf5fbb391ad19c8c1595bf55e217f2f28b0c,9
0xf3735fce63a42600c978194b4038d353a25184d9,7
0x4f5fc247bdff01fde2806e2a089ac7daabc45691,12
0xb38fe837e89b448f2d60e6a24c60da53f736f203,9
0x1275bd1e4c556a01575c69c8808fae62a5672a67,5
0x0778a8831af0f6ae36f67224c59036cd29d162e2,9
0x22a4845dd6002b39bff400d8b34ed9c64578be1b,5
0x004fbb1e3ae907fa7feccbcf8e3607c9911eb523,9
0x250b69364f019e73c3eb9dd39a2dcfa9f260be06,5
0x4b26cb2ea8bb3780bb99f9c3a3c78f2337baa6c6,3
0xca512a3be505439c2563b376287e0b4c3bf2c402,1
0x60819d84867142127395738e0cd7fd779e3122de,1
0x94b7a06374abee56d4c796495b1bb181bd8d0258,1
0xea7c2f220cb43f862b94258894911537c885d465,15
0xe8f5d9099b66353ea84dc89e8312e4c7490574ae,3
0x211e120979c294c5c7254b13f724d50b2c09a67b,3
0x76a85ca62eb07626469d2b6f1712040cceb894f4,1
0xdbd8432aaeea1a411160822aaf7459d9ba83ea9a,2
0x040ba138485e32eca97b8ea603b9410292c36dd6,8
0x07d9795c11be611425eda529fbab421e28e18320,2
0x856ed67dcbe6d612b7ca3752ee819f3021e4adf1,6
0x962ba7660061ccb500dffb48cbcad33dd063cd70,4
0x8231b96944277eb85e7db14906e41b3b9179a8e4,1
